unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
995235,The Fund For Peace,Fragile State Index,Total,2023,250,15,16,0.90936,2006,"108.9,110.1,112.5,114.0,110.2,107.9,106.3,105.2,102.8,100.0,100.5,101.6,102.29375253209211,99.5,99.22085680550748,99.1",2006,"81.9,81.2,81.0,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.63031997786744,73.2,71.28215920806875,75.10000000000001",2023-12-14 01:22:08
2611700,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,250,15,16,0.91306,2006,"8.5,8.8,9.5,9.1,8.8,9.0,8.7,8.4,8.1,7.8,7.5,7.3,7.0,6.7,6.4,6.1",2006,"7.3,7.3,7.3,7.9,7.9,7.5,7.2,6.9,6.7,6.4,6.7,6.5,6.2,5.9,5.6000000000000005,6.1",2023-12-15 16:13:02
2968270,The Fund For Peace,Fragile State Index,E1: Economy,2023,250,15,16,0.90699,2006,"9.8,10.0,10.0,10.0,9.6,9.0,8.9,8.6,8.3,8.0,8.3,8.6,8.6,8.1,8.6,9.4",2006,"5.9,6.3,5.9,6.1,5.9,5.5,5.2,4.7,4.4,4.1,3.8,4.1,4.1,4.4,4.352511675852315,4.7",2023-12-16 08:55:35
3860688,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,250,15,16,0.95931,2006,"9.2,9.5,9.6,9.7,9.4,9.2,8.9,8.6,8.3,8.1,8.2,8.5,8.2,7.9,7.6,7.7",2006,"7.5,7.4,7.0,7.4,7.3,6.9,6.6,6.1,6.2,5.9,5.6,5.9,5.6000000000000005,5.5,5.2,5.1",2023-12-17 09:21:14
4632286,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,250,15,16,0.90353,2006,"9.0,9.1,10.0,10.0,9.7,9.3,9.0,8.6,8.3,8.0,8.1,7.9,7.6,7.3,7.0,7.1",2006,"5.0,5.3,5.3,5.7,5.7,5.4,5.1,4.7,4.7,4.3,4.0,4.3,4.0,4.3,4.291097560308109,4.3",2023-12-18 09:51:44
994887,The Fund For Peace,Fragile State Index,Total,2023,250,15,15,0.90617,2006,"108.9,110.1,112.5,114.0,110.2,107.9,106.3,105.2,102.8,100.0,100.5,101.6,102.29375253209211,99.5,99.22085680550748",2006,"81.9,81.2,81.0,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.63031997786744,73.2,71.28215920806875",2023-12-14 01:21:43
2611622,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,250,15,15,0.9237,2006,"8.5,8.8,9.5,9.1,8.8,9.0,8.7,8.4,8.1,7.8,7.5,7.3,7.0,6.7,6.4",2006,"7.3,7.3,7.3,7.9,7.9,7.5,7.2,6.9,6.7,6.4,6.7,6.5,6.2,5.9,5.6000000000000005",2023-12-15 16:12:53
2968252,The Fund For Peace,Fragile State Index,E1: Economy,2023,250,15,15,0.93436,2006,"9.8,10.0,10.0,10.0,9.6,9.0,8.9,8.6,8.3,8.0,8.3,8.6,8.6,8.1,8.6",2006,"5.9,6.3,5.9,6.1,5.9,5.5,5.2,4.7,4.4,4.1,3.8,4.1,4.1,4.4,4.352511675852315",2023-12-16 08:55:33
3860444,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,250,15,15,0.95293,2006,"9.2,9.5,9.6,9.7,9.4,9.2,8.9,8.6,8.3,8.1,8.2,8.5,8.2,7.9,7.6",2006,"7.5,7.4,7.0,7.4,7.3,6.9,6.6,6.1,6.2,5.9,5.6,5.9,5.6000000000000005,5.5,5.2",2023-12-17 09:21:00
4632251,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,250,15,15,0.90908,2006,"9.0,9.1,10.0,10.0,9.7,9.3,9.0,8.6,8.3,8.0,8.1,7.9,7.6,7.3,7.0",2006,"5.0,5.3,5.3,5.7,5.7,5.4,5.1,4.7,4.7,4.3,4.0,4.3,4.0,4.3,4.291097560308109",2023-12-18 09:51:41
995365,The Fund For Peace,Fragile State Index,Total,2023,250,163,17,0.91623,2006,"108.9,110.1,112.5,114.0,110.2,107.9,106.3,105.2,102.8,100.0,100.5,101.6,102.29375253209211,99.5,99.22085680550748,99.1,97.8",2007,"74.1,74.6,74.4,72.7,71.0,69.1,68.0,66.4,64.5,67.0,66.1,64.79715789270658,64.6,62.13086384675053,64.5,62.6,60.3",2023-12-14 01:22:17
2611742,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,250,163,17,0.9611,2006,"8.5,8.8,9.5,9.1,8.8,9.0,8.7,8.4,8.1,7.8,7.5,7.3,7.0,6.7,6.4,6.1,5.8",2007,"7.1,7.4,7.5,7.6,7.4,7.6,7.8,7.3,7.0,7.1,6.9,6.6000000000000005,6.6,6.3,6.0,5.7,5.4",2023-12-15 16:13:07
3860771,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,250,163,17,0.95746,2006,"9.2,9.5,9.6,9.7,9.4,9.2,8.9,8.6,8.3,8.1,8.2,8.5,8.2,7.9,7.6,7.7,7.7",2007,"7.4,7.4,7.3,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.2,4.9,4.9,4.6000000000000005,4.5,4.4,4.3",2023-12-17 09:21:19
5870989,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,250,163,17,0.93786,2006,"9.5,9.7,9.8,9.9,9.5,9.2,8.9,8.9,8.6,8.3,8.4,8.2,8.5,8.2,8.299999999999999,8.0,8.1",2007,"5.3,5.3,5.3,5.1,5.0,4.6,4.3,4.2,3.9,4.0,3.8,3.5,3.2,2.9000000000000004,3.0,2.7,2.4",2023-12-19 11:07:22
