unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
32593128,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,174,73,11,0.98154,1997,"0.558,0.203,0.203,0.203,0.153,0.153,0.153,0.153,0.153,0.153,0.153",2006,"0.02,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009",2024-01-26 04:00:32
32595637,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,174,73,11,1.0,1997,"0.505,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455",2006,"0.187,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084",2024-01-26 05:50:17
32606325,OECD,FDI Total Restrictiveness Index,Distribution,2024,174,73,11,0.98608,1997,"0.128,0.078,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068",2006,"0.02,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009",2024-01-26 09:40:00
32609867,OECD,FDI Total Restrictiveness Index,Transport,2024,174,73,11,1.0,1997,"0.958,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925,0.925",2006,"0.02,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009",2024-01-26 13:23:15
32613023,OECD,FDI Total Restrictiveness Index,Media,2024,174,73,11,1.0,1997,"0.694,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644,0.644",2006,"0.033,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015",2024-01-26 15:49:33
32616376,OECD,FDI Total Restrictiveness Index,Telecommunications,2024,174,73,11,1.0,1997,"0.715,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665",2006,"0.02,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009",2024-01-26 18:01:58
32627826,OECD,FDI Total Restrictiveness Index,Financial Services,2024,174,73,11,0.93498,1997,"0.501,0.419,0.417,0.417,0.412,0.417,0.417,0.406,0.406,0.39,0.39",2006,"0.055,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019",2024-01-26 20:30:34
32635813,OECD,FDI Total Restrictiveness Index,Business Services,2024,174,73,11,1.0,1997,"0.705,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655",2006,"0.363,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092",2024-01-26 23:33:08
32593124,OECD,FDI Total Restrictiveness Index,Primary Sector,2024,174,216,11,0.98154,1997,"0.558,0.203,0.203,0.203,0.153,0.153,0.153,0.153,0.153,0.153,0.153",2006,"0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2024-01-26 04:00:32
32595634,OECD,FDI Total Restrictiveness Index,Manufacturing,2024,174,216,11,1.0,1997,"0.505,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455,0.455",2006,"0.575,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",2024-01-26 05:50:17
