unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
1206728,The Fund For Peace,Fragile State Index,Total,2023,242,31,17,0.93801,2006,"81.2,79.8,77.9,79.5,78.7,78.2,77.3,75.3,76.7,78.7,81.6,82.9,86.20692501836953,89.3,91.15759122974583,92.6,91.6",2007,"66.9,67.6,69.1,67.4,65.1,64.1,62.1,61.4,62.7,65.3,68.2,68.7131308082741,71.8,72.99411372588226,75.79999999999998,73.9,74.5",2023-12-14 06:38:53
2398206,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,242,31,17,0.91379,2006,"7.3,7.5,7.5,7.7,7.5,7.3,7.3,7.3,7.7,8.1,8.2,8.2,8.527999999999999,8.8,9.152,9.3,9.4",2007,"4.5,4.9,5.1,5.1,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.2,6.2,6.2,6.5,6.2,6.5",2023-12-15 12:06:56
3001389,The Fund For Peace,Fragile State Index,E1: Economy,2023,242,31,17,0.90844,2006,"4.0,4.0,4.6,5.3,5.8,6.1,5.9,5.4,5.5,6.5,7.0,7.3,8.3,8.6,8.7,9.8,9.9",2007,"3.2,3.7,4.1,4.0,3.9,3.6,3.3,3.6,3.9,4.5,4.8,4.5,5.0,5.241637182718234,6.4,6.1,6.6",2023-12-16 09:33:48
5924020,The Fund For Peace,Fragile State Index,P3: Human Rights,2023,242,31,17,0.92289,2006,"7.8,7.9,7.4,7.3,7.2,7.4,7.7,7.7,7.8,8.3,8.6,8.9,9.0,9.0,9.0,9.1,8.8",2007,"5.3,5.6,5.6,5.4,5.1,5.0,5.3,5.6,5.8,6.1,6.4,6.7,6.9,7.0,7.4,7.6,7.9",2023-12-19 12:09:35
2398187,The Fund For Peace,Fragile State Index,C2: Factionalized Elites,2023,242,206,15,0.90681,2006,"7.3,7.5,7.5,7.7,7.5,7.3,7.3,7.3,7.7,8.1,8.2,8.2,8.527999999999999,8.8,9.152",2009,"5.9,5.9,5.9,5.9,5.6,5.6,5.6,5.6,6.1,6.6,6.6,6.6,6.3,6.8,6.8",2023-12-15 12:06:54
3001371,The Fund For Peace,Fragile State Index,E1: Economy,2023,242,206,15,0.92795,2006,"4.0,4.0,4.6,5.3,5.8,6.1,5.9,5.4,5.5,6.5,7.0,7.3,8.3,8.6,8.7",2009,"4.6,5.0,5.3,5.6,5.9,5.8,6.3,6.6,7.1,7.1,7.3,7.507130193326294,8.3,8.0,8.1",2023-12-16 09:33:46
3985353,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,242,206,15,0.93624,2006,"8.0,8.2,8.0,8.0,7.6,7.3,7.2,6.9,6.9,6.7,6.9,6.7,6.6000000000000005,6.9,6.6000000000000005",2009,"8.5,8.5,8.2,8.2,8.0,7.7,7.4,7.7,7.5,7.2,6.9,6.800000000000001,6.7,7.0,6.9",2023-12-17 11:30:20
6409891,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,242,206,15,0.90095,2006,"7.5,6.9,6.5,6.8,6.3,6.0,5.7,5.4,5.4,5.1,5.2,5.6,5.699999999999999,6.2,6.5",2009,"8.4,8.4,8.4,8.1,7.8,7.4,7.0,7.3,7.2,6.9,6.6,6.572575413689942,7.1,7.9,8.0",2023-12-19 21:57:14
3985748,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,242,98,17,0.91244,2006,"8.0,8.2,8.0,8.0,7.6,7.3,7.2,6.9,6.9,6.7,6.9,6.7,6.6000000000000005,6.9,6.6000000000000005,6.7,6.8",2007,"6.3,6.1,6.1,5.9,5.5,5.2,4.9,4.6,4.3,4.0,3.8,3.5,3.2,2.9000000000000004,2.9,2.6,2.6",2023-12-17 11:30:44
4690413,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,242,98,17,0.94376,2006,"7.0,6.9,6.9,6.9,6.7,6.4,6.1,5.8,5.5,5.2,5.2,5.5,6.0,6.1,6.350284251023837,6.5,6.6",2007,"5.0,5.0,5.0,4.8,4.5,4.2,3.9,3.6,3.3,3.0,3.3,3.0,3.6,3.883504694173115,4.0,4.0,3.9",2023-12-18 10:55:47
