unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
31286104,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,89,197,22,0.94045,2000,"0.92,1.05,0.76,0.82,0.48,0.38,0.43,0.4,0.47,0.4,0.44,0.46,0.48,0.47,0.42,0.41,0.44,0.38,0.37,0.43,0.44,0.4",2001,"4.03,4.21,3.45,2.97,2.27,2.17,2.25,2.13,2.16,2.09,2.0,1.97,1.9,1.94,1.83,1.75,1.84,1.61,2.21,2.1,2.01,2.28",2024-01-17 04:38:26
32241814,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,89,197,22,0.91496,2000,"6.41,7.25,5.5,5.39,3.57,2.8,2.94,2.79,3.12,2.75,2.83,2.87,3.18,3.37,3.12,3.23,3.51,3.0,2.82,3.2,2.83,2.94",2001,"11.91,9.81,8.23,7.28,5.71,5.12,5.33,4.98,5.04,4.87,4.81,4.37,4.49,4.33,4.28,4.17,4.58,3.97,5.27,4.36,4.31,5.25",2024-01-19 04:23:41
31286102,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,89,183,22,0.9132,2000,"0.92,1.05,0.76,0.82,0.48,0.38,0.43,0.4,0.47,0.4,0.44,0.46,0.48,0.47,0.42,0.41,0.44,0.38,0.37,0.43,0.44,0.4",2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2024-01-17 04:38:26
32241812,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,89,183,22,0.90499,2000,"6.41,7.25,5.5,5.39,3.57,2.8,2.94,2.79,3.12,2.75,2.83,2.87,3.18,3.37,3.12,3.23,3.51,3.0,2.82,3.2,2.83,2.94",2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4,4.81",2024-01-19 04:23:41
31286100,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,89,197,21,0.94675,2000,"0.92,1.05,0.76,0.82,0.48,0.38,0.43,0.4,0.47,0.4,0.44,0.46,0.48,0.47,0.42,0.41,0.44,0.38,0.37,0.43,0.44",2001,"4.03,4.21,3.45,2.97,2.27,2.17,2.25,2.13,2.16,2.09,2.0,1.97,1.9,1.94,1.83,1.75,1.84,1.61,2.21,2.1,2.01",2024-01-17 04:38:25
32241810,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,89,197,21,0.91767,2000,"6.41,7.25,5.5,5.39,3.57,2.8,2.94,2.79,3.12,2.75,2.83,2.87,3.18,3.37,3.12,3.23,3.51,3.0,2.82,3.2,2.83",2001,"11.91,9.81,8.23,7.28,5.71,5.12,5.33,4.98,5.04,4.87,4.81,4.37,4.49,4.33,4.28,4.17,4.58,3.97,5.27,4.36,4.31",2024-01-19 04:23:40
31286097,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,89,183,21,0.91631,2000,"0.92,1.05,0.76,0.82,0.48,0.38,0.43,0.4,0.47,0.4,0.44,0.46,0.48,0.47,0.42,0.41,0.44,0.38,0.37,0.43,0.44",2000,"3.54,3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47",2024-01-17 04:38:25
32241807,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,89,183,21,0.90361,2000,"6.41,7.25,5.5,5.39,3.57,2.8,2.94,2.79,3.12,2.75,2.83,2.87,3.18,3.37,3.12,3.23,3.51,3.0,2.82,3.2,2.83",2000,"16.26,15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4",2024-01-19 04:23:40
31286098,SIPRI,Military Expenditure,Military Expenditure - Share of GDP (%),2022,89,183,21,0.9026,2000,"0.92,1.05,0.76,0.82,0.48,0.38,0.43,0.4,0.47,0.4,0.44,0.46,0.48,0.47,0.42,0.41,0.44,0.38,0.37,0.43,0.44",2001,"3.4,3.05,2.45,1.97,1.74,1.64,1.37,1.31,1.33,1.22,1.09,1.04,1.05,1.1,1.21,1.24,1.25,1.23,1.2,1.47,1.51",2024-01-17 04:38:25
32241808,SIPRI,Military Expenditure,Military Expenditure - Share of Government Spending (%),2022,89,183,21,0.90205,2000,"6.41,7.25,5.5,5.39,3.57,2.8,2.94,2.79,3.12,2.75,2.83,2.87,3.18,3.37,3.12,3.23,3.51,3.0,2.82,3.2,2.83",2001,"15.18,12.71,11.42,9.7,7.69,7.98,6.09,5.82,5.94,5.11,4.44,4.24,4.03,4.01,4.57,4.94,4.98,4.68,4.25,4.4,4.81",2024-01-19 04:23:40
