unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
8273779,World Bank,GDP (current US$),GDP (current US$),2023,11,20,25,0.97833,1990,"2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384452070.74171,9206301264.17572,11662040703.8916,8647937090.63389,9260285762.09704,10142111812.3665,10619320692.8087,11121464429.703,11609513241.0754",1990,"21650000000.0,18000000000.0,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594928109.4411,17825437482.8613,23141593073.9738,30210091836.8294,36961822468.2015,45275747157.412,60752177438.8895,50873181571.649,57231904542.8755,61762340943.0511,65685903570.4526,75527537703.1836,78812785767.7483",2023-12-22 15:02:49,Finance Economy Sector
44418304,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:47,Unknown
44418306,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:47,Unknown
44418308,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:47,Unknown
44418310,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:47,Unknown
44418312,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
44418314,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
44418316,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
44418318,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
44418320,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
44418322,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,20,25,0.94956,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"45.418,44.258,36.983,31.518,26.784,24.782,25.468,25.412,24.908,24.262,24.666,24.782,25.261,25.985,26.856,26.837,28.567,27.974,28.007,26.508,27.462,29.158,30.413,27.105,27.623",2024-02-10 14:54:48,Unknown
8275662,World Bank,GDP (current US$),GDP (current US$),2023,11,219,25,0.94901,1990,"2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384452070.74171,9206301264.17572,11662040703.8916,8647937090.63389,9260285762.09704,10142111812.3665,10619320692.8087,11121464429.703,11609513241.0754",1991,"2534720480.3244,1909246640.80838,1646693642.11088,1522018435.69536,1231567145.35508,1043654822.33503,921517486.662716,1320199581.52261,1086612582.89292,860541842.263697,1080772703.16128,1221106073.03073,1555318430.76621,2076176636.43428,2312352267.98721,2830213562.60217,3719524180.70289,5161299725.27673,4979471963.79181,5642221528.67114,6522755783.39257,7633036366.03492,8448410727.15443,9112606074.51713,8271431932.43678",2023-12-22 15:04:48,Finance Economy Sector
44418390,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:04,Unknown
44418392,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:04,Unknown
44418394,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:04,Unknown
44418396,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:04,Unknown
44418398,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:04,Unknown
44418400,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:05,Unknown
44418402,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:05,Unknown
44418404,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:05,Unknown
44418406,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:05,Unknown
44418408,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,219,25,0.94234,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1991,"5.071,4.143,3.244,2.488,2.225,2.148,2.141,2.251,2.238,2.149,2.121,2.127,2.168,2.345,2.34,2.413,2.579,2.454,2.132,2.176,2.182,2.363,2.37,2.541,2.755",2024-02-10 14:55:05,Unknown
8275380,World Bank,GDP (current US$),GDP (current US$),2023,11,183,25,0.93749,1990,"2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384452070.74171,9206301264.17572,11662040703.8916,8647937090.63389,9260285762.09704,10142111812.3665,10619320692.8087,11121464429.703,11609513241.0754",1996,"1382334879.40812,1851558199.35773,1989343548.29917,2157024758.12224,2068762706.74598,1966548409.54858,1965932546.35834,2138185328.15156,2376464519.64036,2933765825.28037,3319711249.44189,4070391531.29599,5179804290.63377,5674428927.60356,6124693374.47064,6884907733.00484,7654782978.58736,7820052084.03387,8239042500.28733,8543869360.36164,8695318854.11055,9252833678.08916,9636510839.30707,10346675636.3397,10172925171.5869",2023-12-22 15:04:30,Finance Economy Sector
44418379,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418380,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418381,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418382,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418383,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418384,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418385,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418386,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418387,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:02,Unknown
44418388,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,183,25,0.94221,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1996,"6.169,7.135,4.004,4.191,3.333,3.366,3.426,3.405,3.413,3.188,3.263,3.32,3.402,3.522,3.601,3.706,3.836,3.937,4.002,4.076,4.145,4.297,4.442,4.565,4.678",2024-02-10 14:55:03,Unknown
8274756,World Bank,GDP (current US$),GDP (current US$),2023,11,118,25,0.93398,1990,"2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469515.07252,6384452070.74171,9206301264.17572,11662040703.8916,8647937090.63389,9260285762.09704,10142111812.3665,10619320692.8087,11121464429.703,11609513241.0754",1990,"2675000000.0,2569444444.44444,2316562500.0,2028295454.54545,1681006993.00699,1661018518.51852,1827570586.16784,1767864035.71943,1645963749.83146,1249061487.01457,1369688498.06778,1525116370.27939,1605643104.73021,1919008090.49641,2211534585.0034,2460246796.05234,2834168893.27265,3802570572.37516,5139958956.02388,4690061344.16421,4794361821.20611,6197765941.67975,6605142864.372,7335033799.26212,7468102369.13654",2023-12-22 15:03:49,Finance Economy Sector
44418357,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:56,Unknown
44418358,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:56,Unknown
44418359,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:56,Unknown
44418360,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:56,Unknown
44418361,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:56,Unknown
44418362,OECD,Primary Energy Supply,Primary Energy Supply,2024,11,118,25,0.9402,1990,"7.709,8.126,4.131,2.193,1.379,1.645,1.781,1.862,1.897,1.834,2.015,2.006,1.877,1.981,2.095,2.513,2.559,2.853,3.004,2.61,2.483,2.716,2.971,2.901,3.152",1990,"7.487,6.788,4.98,3.871,2.794,2.384,2.757,2.593,2.761,2.412,2.319,2.155,2.422,2.578,2.542,2.574,2.533,2.954,3.159,2.884,2.753,3.31,4.134,3.896,4.084",2024-02-10 14:54:57,Unknown
